model,utterance_acc,utterance_macro_f1,utterance_macro_auc_ovr,subject_acc,subject_macro_f1,subject_macro_auc_ovr
logreg,0.535727646838758,0.5400447338930193,0.7339858889394235,0.6923076923076923,0.7000000000000001,0.8677248677248678
svm_linear,0.5563037785260008,0.5562627748099399,0.7312780595855911,0.6923076923076923,0.6944444444444443,0.8658730158730159
random_forest,0.644968200523756,0.6235246339492249,0.8265297569392752,0.9230769230769231,0.9076923076923077,0.9841269841269842
