utt_type,do_downsample,do_smote,split_seed,init_seed,test_acc,macro_f1,macro_auc,subject_acc,subject_f1,subject_auc
O,True,True,42,0,0.7395833488553762,0.733938498310411,0.8678450520833332,0.8461538461538461,0.85,0.919047619047619
O,True,True,42,1,0.7506944593042135,0.7455127792403632,0.8706137876157407,0.8461538461538461,0.85,0.9111111111111111
O,True,True,42,2,0.6951389061287045,0.6839066715439018,0.870906394675926,0.8461538461538461,0.85,0.9079365079365079
O,True,True,42,3,0.7368055712431669,0.7269603825782439,0.8700405092592592,0.9230769230769231,0.9220779220779222,0.9222222222222222
O,True,True,42,4,0.7187500158324838,0.7113406054972137,0.8622967303240742,0.9230769230769231,0.9220779220779222,0.9222222222222222
O,True,True,42,5,0.7083333497866988,0.7004499044923422,0.8500987413194445,0.8461538461538461,0.85,0.9111111111111111
O,True,True,42,6,0.7083333507180214,0.6986619767883678,0.8581456163194444,0.9230769230769231,0.9220779220779222,0.9222222222222222
O,True,True,42,7,0.7152777938172221,0.7078452749594494,0.8667201967592592,0.8461538461538461,0.85,0.919047619047619
O,True,True,42,8,0.684722239151597,0.6797353985368738,0.8393127893518519,0.8461538461538461,0.85,0.9111111111111111
O,True,True,42,9,0.7090277941897511,0.7005358595356839,0.856754195601852,0.8461538461538461,0.85,0.9301587301587301
O,True,True,42,10,0.7069444609805942,0.6960619708754834,0.8632353153935185,0.9230769230769231,0.9220779220779222,0.9111111111111111
O,True,True,42,11,0.7631944585591555,0.7606543278256597,0.8821419270833332,0.8461538461538461,0.85,0.919047619047619
O,True,True,42,12,0.724305571988225,0.7172089741818667,0.857984302662037,0.8461538461538461,0.85,0.9301587301587301
O,True,True,42,13,0.730555571615696,0.7239655110756903,0.8638049768518519,0.8461538461538461,0.85,0.9142857142857143
O,True,True,42,14,0.718055572360754,0.7149087281558856,0.8497735821759259,0.8461538461538461,0.85,0.9
O,True,True,42,15,0.7312500160187483,0.7266012668079997,0.8616626880787037,0.9230769230769231,0.9220779220779222,0.9333333333333335
O,True,True,42,16,0.7000000169500709,0.6889153505544852,0.8542744502314815,0.8461538461538461,0.85,0.9111111111111111
O,True,True,42,17,0.724305571988225,0.7175488733851861,0.8630128761574074,0.8461538461538461,0.85,0.9031746031746032
O,True,True,42,18,0.7458333484828472,0.7410343006438342,0.8609490740740741,0.8461538461538461,0.85,0.9222222222222222
O,True,True,42,19,0.7145833494141698,0.7080963551586813,0.8556195746527777,0.8461538461538461,0.85,0.9333333333333335
O,True,True,42,20,0.7125000162050128,0.7063643663735722,0.8534642650462962,0.8461538461538461,0.85,0.9222222222222222
O,True,True,42,21,0.7486111260950565,0.7427891158300449,0.8717042824074074,0.8461538461538461,0.85,0.9301587301587301
O,True,True,42,22,0.6826389078050852,0.6743864994267609,0.8362257667824075,0.8461538461538461,0.85,0.8920634920634921
O,True,True,42,23,0.7201389046385884,0.7064635464964698,0.8668800636574074,0.9230769230769231,0.9220779220779222,0.919047619047619
O,True,True,42,24,0.7375000156462193,0.7322413366142947,0.8678493923611111,0.8461538461538461,0.85,0.9301587301587301
O,True,True,42,25,0.740277792327106,0.7323299680837773,0.8789142071759258,0.8461538461538461,0.85,0.9222222222222222
O,True,True,42,26,0.7222222378477454,0.7172868570178633,0.8690617766203704,0.8461538461538461,0.85,0.9301587301587301
O,True,True,42,27,0.7250000163912773,0.715380031869623,0.8746752025462964,0.8461538461538461,0.85,0.9222222222222222
O,True,True,42,28,0.7208333490416408,0.7185416490739865,0.8671882233796296,0.8461538461538461,0.85,0.9222222222222222
O,True,True,42,29,0.6791666857898235,0.6687533055798571,0.849148582175926,0.8461538461538461,0.85,0.9222222222222222
C,True,True,42,0,0.7534722369164228,0.7340951934371244,0.8906582754629628,0.9230769230769231,0.9220779220779222,0.96984126984127
C,True,True,42,1,0.7513889037072659,0.7333902330595148,0.9028530092592594,0.8461538461538461,0.8215488215488215,0.96984126984127
C,True,True,42,2,0.787500012665987,0.7766493694486799,0.9162684461805556,0.9230769230769231,0.9220779220779222,0.9888888888888889
C,True,True,42,3,0.7375000156462193,0.7116780282271759,0.9038064236111111,0.9230769230769231,0.8962962962962964,0.9888888888888889
