utt_type,do_downsample,do_smote,split_seed,n_init_seeds,test_acc_mean,test_acc_std,macro_f1_mean,macro_f1_std,macro_auc_mean,macro_auc_std,subject_acc_mean,subject_acc_std,subject_f1_mean,subject_f1_std,subject_auc_mean,subject_auc_std
C,True,True,42,30,0.7448842744032542,0.01592423913332995,0.7279668633272868,0.01880957235847691,0.8940124782986111,0.012240920872432118,0.8820512820512821,0.04837001729460437,0.8644105277438608,0.06265716233442595,0.9737037037037036,0.011081227569973196
O,True,True,42,30,0.7204861273057759,0.02032321578254904,0.7132806562171292,0.021739409861429436,0.8620101514274691,0.010554007698731709,0.8615384615384616,0.03129523862865282,0.8644155844155847,0.02932404502671821,0.9188888888888888,0.010033349833345254
W,True,True,42,30,0.8332638988271356,0.014878925037929947,0.8300170469979226,0.015986111549529277,0.9558630762924383,0.006553435807633518,0.9846153846153847,0.031295238628652765,0.9792592592592592,0.04219061800307263,1.0,0.0
